register_date,category,store,amount in EuR,country iso code 3
2024-01-31 00:00:00,SWEETS,LIDL,4.54,NLD
2024-02-01 04:00:00,BEVERAGE,CARREFOUR,2.35,NLD
2024-02-02 08:00:00,BEVERAGE,ALDI,2.05,NLD
2024-02-03 12:00:00,SWEETS,LIDL,4.84,NLD
2024-02-04 16:00:00,FOOD,LIDL,3.69,NLD
2024-02-05 20:00:00,ALCOHOL,ALDI,4.19,NLD
2024-02-07 00:00:00,ALCOHOL,LIDL,1.23,NLD
2024-02-08 04:00:00,BEVERAGE,ALDI,3.74,NLD
2024-02-09 08:00:00,SWEETS,CARREFOUR,2.28,NLD
2024-02-10 12:00:00,FOOD,WALMART,3.06,NLD
2024-02-11 16:00:00,SWEETS,LIDL,3.78,NLD
2024-02-12 20:00:00,SWEETS,CARREFOUR,1.94,NLD
2024-02-14 00:00:00,BEVERAGE,WALMART,1.04,NLD
2024-02-15 04:00:00,BEVERAGE,ALDI,4.43,NLD
2024-02-16 08:00:00,ALCOHOL,CARREFOUR,3.18,NLD
2024-02-17 12:00:00,FOOD,WALMART,2.51,NLD
2024-02-18 16:00:00,FOOD,ALDI,1.51,NLD
2024-02-19 20:00:00,ALCOHOL,ALDI,2.45,NLD
2024-02-21 00:00:00,FOOD,CARREFOUR,3.57,NLD
2024-02-22 04:00:00,BEVERAGE,LIDL,1.49,NLD
2024-02-23 08:00:00,FOOD,LIDL,4.24,NLD
2024-02-24 12:00:00,ALCOHOL,LIDL,1.66,NLD
2024-02-25 16:00:00,FOOD,LIDL,3.28,NLD
2024-02-26 20:00:00,BEVERAGE,WALMART,1.29,NLD
2024-02-28 00:00:00,ALCOHOL,WALMART,4.73,NLD
2024-02-29 04:00:00,FOOD,ALDI,2.07,NLD
2024-03-01 08:00:00,ALCOHOL,LIDL,3.68,NLD
2024-03-02 12:00:00,SWEETS,LIDL,2.91,NLD
2024-03-03 16:00:00,SWEETS,CARREFOUR,1.8,NLD
2024-03-04 20:00:00,BEVERAGE,CARREFOUR,4.12,NLD
2024-03-06 00:00:00,FOOD,ALDI,2.95,NLD
2024-03-07 04:00:00,ALCOHOL,CARREFOUR,4.85,NLD
2024-03-08 08:00:00,BEVERAGE,WALMART,2.94,NLD
2024-03-09 12:00:00,SWEETS,CARREFOUR,4.03,NLD
2024-03-10 16:00:00,SWEETS,ALDI,4.25,NLD
2024-03-11 20:00:00,ALCOHOL,LIDL,2.32,NLD
2024-03-13 00:00:00,BEVERAGE,ALDI,4.8,NLD
2024-03-14 04:00:00,BEVERAGE,ALDI,1.63,NLD
2024-03-15 08:00:00,BEVERAGE,WALMART,3.08,NLD
2024-03-16 12:00:00,BEVERAGE,WALMART,3.06,NLD
2024-03-17 16:00:00,FOOD,CARREFOUR,1.79,NLD
2024-03-18 20:00:00,ALCOHOL,WALMART,4.7,NLD
2024-03-20 00:00:00,BEVERAGE,WALMART,2.78,NLD
2024-03-21 04:00:00,BEVERAGE,ALDI,4.75,NLD
2024-03-22 08:00:00,BEVERAGE,CARREFOUR,1.89,NLD
2024-03-23 12:00:00,SWEETS,ALDI,2.91,NLD
2024-03-24 16:00:00,BEVERAGE,LIDL,3.65,NLD
2024-03-25 20:00:00,FOOD,LIDL,4.17,NLD
2024-03-27 00:00:00,FOOD,LIDL,1.98,NLD
2024-03-28 04:00:00,ALCOHOL,WALMART,3.87,NLD
2024-03-29 08:00:00,SWEETS,LIDL,1.79,NLD
2024-03-30 12:00:00,FOOD,ALDI,2.34,NLD
2024-03-31 16:00:00,BEVERAGE,LIDL,2.99,NLD
2024-04-01 20:00:00,FOOD,WALMART,4.88,NLD
2024-04-03 00:00:00,SWEETS,LIDL,2.99,NLD
2024-04-04 04:00:00,BEVERAGE,CARREFOUR,1.55,NLD
2024-04-05 08:00:00,BEVERAGE,WALMART,3.67,NLD
